hidden_channels,lr,weight_decay,dropout,focal_gamma,focal_alpha,epochs,mean_auc,std_auc,mean_f1,mean_acc
128,0.0002,0.0001,0.5,1,0.5,700,0.9944247437636967,0.001758487327014283,0.9629504030651113,0.9639879558380728
128,0.0002,1e-05,0.3,2,0.75,700,0.9940710054775904,0.0033587741708361357,0.966362165863783,0.9672532619605219
256,0.0002,0.0001,0.3,1,0.5,700,0.9937437047039108,0.0021509482975116704,0.9640683638107488,0.964814319170291
256,0.0002,0.0001,0.3,1,0.75,700,0.9937174856833222,0.0023083395047970605,0.9642339182899289,0.964814319170291
128,0.0002,1e-05,0.3,1,0.5,1000,0.99371158640369,0.004083986187438033,0.9657776582307545,0.9664469722315155
256,0.0002,1e-05,0.5,1,0.5,1000,0.9935018342389819,0.002651313800199697,0.9590833330506069,0.9598996319839411
256,0.0002,0.0001,0.5,1,0.5,1000,0.99325417374034,0.004170356990321854,0.9640443213570411,0.9648076279692205
128,0.0002,0.0001,0.5,1,0.5,1000,0.9932474004933546,0.0015824293972626535,0.9520174052894591,0.9533623285379725
256,0.0002,0.0001,0.3,1,0.75,1000,0.9932447785912958,0.0032935180963262504,0.9633734015864235,0.9639979926396789
256,0.0002,1e-05,0.3,2,0.75,1000,0.9932304673758912,0.0028548316030925906,0.96009704072816,0.9607159585145533
512,0.0002,0.0001,0.3,2,0.75,1000,0.9931920128123615,0.0028597533301382458,0.96423959559257,0.9648109735697558
128,0.0002,0.0001,0.5,2,0.75,1000,0.9931737687438685,0.003803446260427267,0.9552661743393829,0.9566309802609567
128,0.0002,1e-05,0.5,1,0.75,1000,0.9931618609386845,0.002901834398848204,0.9630775386641275,0.9639979926396789
128,0.0002,1e-05,0.3,2,0.5,1000,0.9930751196789045,0.0036037036237243337,0.9648097583427886,0.9656339913014387
128,0.0002,1e-05,0.3,1,0.75,1000,0.993028690163279,0.003508984323162889,0.9629710898932899,0.9639913014386083
256,0.0002,0.0001,0.5,1,0.75,1000,0.9930143789478745,0.0035974598957556453,0.9616215682750433,0.9623586483773838
128,0.0002,0.0001,0.3,1,0.5,1000,0.9930007232079845,0.003835057979047432,0.9644890700184513,0.9648210103713616
128,0.0002,1e-05,0.5,1,0.5,1000,0.9929751596629108,0.003311888473265587,0.9649407013120419,0.9656273001003679
128,0.0002,1e-05,0.3,1,0.75,700,0.9929612854311827,0.0031502002150309545,0.9572748782250364,0.9582569421211107
128,0.0002,1e-05,0.3,1,0.5,700,0.9929532012331681,0.0029732223597451306,0.965541131277656,0.9664469722315155
128,0.0002,1e-05,0.3,2,0.75,1000,0.9929398732310354,0.0033202098818815675,0.9607467094856359,0.961545667447307
256,0.0002,0.0001,0.3,2,0.75,1000,0.9927918450106297,0.003122966820396139,0.9626755998962443,0.9631850117096018
512,0.0002,1e-05,0.3,1,0.75,1000,0.9927832145830193,0.0033864663334921435,0.9549451010249973,0.9550150552024089
128,0.0002,1e-05,0.3,2,0.75,400,0.9927364573296364,0.0032407559237192193,0.9605404729403453,0.9615389762462362
128,0.0002,0.0001,0.3,2,0.75,1000,0.9927253142458863,0.0025453758311279754,0.9632746130623382,0.9639946470391436
256,0.0002,1e-05,0.3,1,0.75,1000,0.992642068855518,0.0038080856645292165,0.9589218538377974,0.9599096687855472
