run,test_auc,test_f1,test_acc,test_precision,threshold
1,0.7222222222222222,0.7,0.6470588235294118,0.6363636363636364,0.45999999999999996
2,0.5555555555555556,0.7,0.6470588235294118,0.6363636363636364,0.5
3,0.9166666666666666,0.8235294117647058,0.8235294117647058,0.875,0.51
4,0.7361111111111112,0.42857142857142855,0.5294117647058824,0.6,0.5700000000000001
5,0.4861111111111111,0.782608695652174,0.7058823529411765,0.6428571428571429,0.42000000000000004
6,0.625,0.8181818181818182,0.7647058823529411,0.6923076923076923,0.54
7,0.8472222222222222,0.8,0.7647058823529411,0.7272727272727273,0.51
8,0.6527777777777778,0.7272727272727273,0.6470588235294118,0.6153846153846154,0.5
9,0.7638888888888888,0.18181818181818182,0.47058823529411764,0.5,0.49
10,0.625,0.3333333333333333,0.5294117647058824,0.6666666666666666,0.54
