hidden_channels,lr,weight_decay,dropout,focal_gamma,focal_alpha,epochs,mean_auc,std_auc,mean_f1,mean_acc
256,0.001,0.001,0.4,1.0,0.5,400,0.744349376114082,0.07521490864146768,0.7412789549631655,0.6187830687830688
256,0.001,0.0001,0.6,0.5,0.75,200,0.7372727272727272,0.06710571584982086,0.7506744868035191,0.6616402116402116
256,0.001,0.001,0.6,1.0,0.75,200,0.7371895424836601,0.09231416893818616,0.7621217148046415,0.6687830687830688
64,0.001,0.001,0.6,0.5,0.5,400,0.7297920380273322,0.058329095941942466,0.7835613661700618,0.6687830687830688
64,0.001,0.001,0.6,1.0,0.5,200,0.7261734997029115,0.08371012287185021,0.7804718173652704,0.6759259259259259
256,0.001,0.0001,0.4,0.5,0.75,600,0.7258704693998811,0.09382319333922651,0.7268711405553511,0.625925925925926
64,0.001,0.0001,0.6,0.5,0.5,600,0.7241414141414141,0.0761694478822786,0.7628652377432864,0.6333333333333333
64,0.0002,0.0001,0.4,1.0,0.75,200,0.7225430778371955,0.04674069775578502,0.7730967998409859,0.6619047619047619
256,0.001,0.0001,0.6,1.0,0.5,200,0.7218954248366012,0.07958260412862832,0.7819856887298748,0.6907407407407408
128,0.001,0.0001,0.6,0.5,0.75,400,0.7213131313131314,0.06283374447955305,0.7668469595298865,0.6833333333333333
256,0.001,0.0001,0.4,1.0,0.75,200,0.7191681521093287,0.03824901220701596,0.781767355451566,0.683068783068783
128,0.001,0.0001,0.6,0.5,0.75,600,0.7182768865121807,0.0776675531360775,0.7746814525296181,0.6764550264550265
256,0.001,0.0001,0.6,0.5,0.75,400,0.717997623291741,0.0930358805072357,0.7824328199195643,0.6904761904761905
256,0.001,0.0001,0.6,1.0,0.75,400,0.7179857397504457,0.08280037567427026,0.7556056060340025,0.669047619047619
256,0.0002,0.001,0.6,0.5,0.5,600,0.7171004159239454,0.05652159290764313,0.7700741691627442,0.6833333333333333
128,0.0002,0.0001,0.4,1.0,0.75,200,0.7167498514557338,0.08464109410975472,0.7081971061971062,0.6187830687830689
256,0.001,0.0001,0.6,1.0,0.75,200,0.7167260843731432,0.09127419219529533,0.7522119785791158,0.6402116402116402
128,0.001,0.001,0.4,1.0,0.75,400,0.7161021984551396,0.08982451215700868,0.765196208186432,0.6613756613756614
256,0.001,0.0001,0.6,1.0,0.75,600,0.7158467023172906,0.05596337237061849,0.7567320261437909,0.6693121693121693
128,0.001,0.001,0.6,0.5,0.5,200,0.7151218062982769,0.09248131526795685,0.766343869249046,0.6764550264550265
128,0.001,0.001,0.4,1.0,0.75,600,0.7145276292335117,0.07375436878594793,0.7849425324292769,0.6687830687830687
64,0.001,0.001,0.6,1.0,0.75,400,0.7143731431966727,0.09304395155557091,0.784280159571782,0.6907407407407408
256,0.001,0.0001,0.6,0.5,0.5,200,0.7141651812240049,0.07210981034349509,0.7289025671309572,0.6621693121693122
256,0.001,0.001,0.6,1.0,0.75,400,0.7136601307189542,0.05949101953631822,0.7484755877197738,0.6547619047619048
256,0.001,0.001,0.4,0.5,0.75,200,0.7136363636363636,0.04426438084243754,0.6735411702853564,0.6047619047619046
256,0.001,0.001,0.6,0.5,0.5,400,0.7122043969102794,0.06112962947168927,0.7613841198361323,0.6616402116402117
256,0.001,0.0001,0.4,1.0,0.75,400,0.7121806298276886,0.046071510279797466,0.740025595319713,0.6187830687830689
256,0.001,0.001,0.4,1.0,0.75,400,0.7113725490196078,0.09859530509022445,0.7170304395304395,0.6116402116402118
128,0.0002,0.001,0.4,0.5,0.5,600,0.7112537136066548,0.08859249455663469,0.7602321939164044,0.6544973544973545
128,0.001,0.001,0.4,0.5,0.75,200,0.7111408199643494,0.096555060094717,0.7489336138116626,0.6473544973544973
256,0.001,0.001,0.6,0.5,0.75,200,0.7099405822935235,0.05121435303290304,0.7627759627759628,0.6687830687830688
256,0.0002,0.001,0.6,1.0,0.75,600,0.7099108734402853,0.08223306165383885,0.7750455680826603,0.6547619047619048
128,0.001,0.0001,0.6,1.0,0.75,200,0.7090314913844326,0.05632653161677199,0.768179494923681,0.6547619047619048
256,0.001,0.001,0.4,1.0,0.75,600,0.7087997623291741,0.07347118552615187,0.7126705135961033,0.6333333333333333
128,0.001,0.001,0.6,0.5,0.75,600,0.7087581699346405,0.05981340138019453,0.775135955187303,0.6838624338624338
64,0.0002,0.0001,0.4,1.0,0.5,600,0.7085858585858587,0.06309372618453107,0.7496747967479674,0.6264550264550264
256,0.001,0.0001,0.6,0.5,0.5,600,0.7084789067142008,0.09100266951719961,0.7713708513708513,0.6687830687830688
256,0.0002,0.001,0.4,1.0,0.5,400,0.7070944741532977,0.08543063373281957,0.7223746823746824,0.6611111111111111
128,0.001,0.0001,0.4,0.5,0.75,600,0.7065775401069518,0.09325467272145758,0.7795319044099532,0.6616402116402117
256,0.001,0.001,0.6,0.5,0.5,600,0.7061497326203208,0.06948086176262383,0.7596945536523619,0.6761904761904762
128,0.001,0.001,0.6,1.0,0.75,600,0.706060606060606,0.09172234194351955,0.7643276710718572,0.6624338624338624
256,0.0002,0.001,0.4,0.5,0.75,400,0.7057932263814617,0.07397066327252767,0.7417893217893218,0.625925925925926
256,0.001,0.0001,0.4,1.0,0.5,600,0.7041532976827095,0.046962562920725856,0.7371061971061972,0.6478835978835978
128,0.0002,0.0001,0.4,1.0,0.5,200,0.7041473559120618,0.0777062884358,0.7276683481334644,0.6113756613756614
256,0.001,0.001,0.6,1.0,0.75,600,0.7041414141414142,0.045853878699959265,0.7193088664814492,0.6404761904761905
128,0.001,0.0001,0.6,0.5,0.75,200,0.7041176470588236,0.057996026886866385,0.776871140555351,0.6687830687830688
256,0.001,0.001,0.6,0.5,0.75,600,0.7039275103980986,0.049277258748201165,0.725441682766631,0.6476190476190476
128,0.0002,0.001,0.4,0.5,0.5,400,0.7036363636363636,0.08254467575256236,0.7461985710766198,0.6330687830687831
128,0.001,0.0001,0.6,1.0,0.5,600,0.7034224598930481,0.07582397425753155,0.7695679706100306,0.6907407407407408
128,0.001,0.0001,0.4,0.5,0.75,200,0.7026975638740345,0.0728202001270796,0.7525374812171512,0.6547619047619048
64,0.001,0.001,0.4,1.0,0.75,600,0.7021390374331551,0.0913822227209134,0.7613675213675213,0.6402116402116402
64,0.001,0.001,0.6,1.0,0.5,600,0.7019786096256684,0.10067994977308406,0.7631806436457598,0.641005291005291
128,0.001,0.001,0.6,1.0,0.5,200,0.7018360071301248,0.09715801678043329,0.7630967998409859,0.6619047619047618
256,0.001,0.001,0.4,0.5,0.75,600,0.7016221033868093,0.06625192467018638,0.5723958799820869,0.5687830687830688
64,0.001,0.001,0.4,0.5,0.75,200,0.7013844325609032,0.08398088544063391,0.7499714348494836,0.619047619047619
256,0.0002,0.001,0.4,1.0,0.5,600,0.7011408199643494,0.0946860436183934,0.6891547244488422,0.625925925925926
256,0.0002,0.001,0.6,1.0,0.5,400,0.701045751633987,0.10690445638075886,0.7833188772855012,0.6981481481481481
256,0.0002,0.0001,0.6,1.0,0.5,200,0.7010219845513963,0.09998793850202112,0.7566362669098647,0.6550264550264551
