Epoch,Loss,Train_AUC,Train_F1,Train_Acc,Val_AUC,Val_F1,Val_Acc,Test_AUC,Test_F1,Test_Acc
10,2.9316675863810815e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9949748743718593,0.9950248756218906
20,9.228230624103162e-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9949748743718593,0.9950248756218906
30,1.0220340129762917e-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9949748743718593,0.9950248756218906
40,1.4783113622129918e-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9949748743718593,0.9950248756218906
50,2.1256675586389662e-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9949748743718593,0.9950248756218906
60,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9949748743718593,0.9950248756218906
70,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9949748743718593,0.9950248756218906
80,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9949748743718593,0.9950248756218906
90,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9949748743718593,0.9950248756218906
100,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9949748743718593,0.9950248756218906
110,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9949748743718593,0.9950248756218906
120,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9949748743718593,0.9950248756218906
130,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9949748743718593,0.9950248756218906
140,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9949748743718593,0.9950248756218906
150,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9949748743718593,0.9950248756218906
160,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9949748743718593,0.9950248756218906
170,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9949748743718593,0.9950248756218906
180,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9949748743718593,0.9950248756218906
190,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9949748743718593,0.9950248756218906
200,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9949748743718593,0.9950248756218906
210,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9949748743718593,0.9950248756218906
220,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9949748743718593,0.9950248756218906
230,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9949748743718593,0.9950248756218906
240,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9949748743718593,0.9950248756218906
250,1.4103117285113598e-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9949748743718593,0.9950248756218906
260,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9949748743718593,0.9950248756218906
270,1.8550291858154822e-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9949748743718593,0.9950248756218906
280,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9949748743718593,0.9950248756218906
290,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9949748743718593,0.9950248756218906
300,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9949748743718593,0.9950248756218906
310,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9949748743718593,0.9950248756218906
320,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9949748743718593,0.9950248756218906
330,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9949748743718593,0.9950248756218906
340,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9949748743718593,0.9950248756218906
350,1.5259110641707707e-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9949748743718593,0.9950248756218906
360,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9949748743718593,0.9950248756218906
370,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9949748743718593,0.9950248756218906
380,1.5136711328800345e-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9949748743718593,0.9950248756218906
390,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9949748743718593,0.9950248756218906
400,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9949748743718593,0.9950248756218906
