Seed,Epoch,Loss,Train_AUC,Train_F1,Train_Acc,Val_AUC,Val_F1,Val_Acc,Test_AUC,Test_F1,Test_Acc
42,5,0.251139,0.8071,0.7339,0.6615,0.6522,0.6441,0.5714,0.8097,0.7519,0.6857
42,10,0.241552,0.8562,0.7748,0.7436,0.7007,0.6786,0.6327,0.8442,0.7769,0.7429
42,15,0.212723,0.8922,0.8,0.7795,0.7207,0.7037,0.6735,0.8515,0.7627,0.7333
42,20,0.187807,0.9189,0.8235,0.8154,0.7274,0.6923,0.6735,0.854,0.7719,0.7524
42,25,0.179079,0.9468,0.8667,0.8564,0.7458,0.7037,0.6735,0.8613,0.7857,0.7714
42,30,0.160857,0.9735,0.9135,0.9077,0.7492,0.7037,0.6735,0.8671,0.789,0.781
42,35,0.139746,0.9933,0.9515,0.9487,0.7458,0.6667,0.6327,0.8693,0.7963,0.7905
42,40,0.133984,0.9988,0.99,0.9897,0.7592,0.6792,0.6531,0.8718,0.7963,0.7905
42,45,0.115617,1.0,0.995,0.9949,0.7575,0.6923,0.6735,0.8696,0.7925,0.7905
42,50,0.083784,1.0,1.0,1.0,0.7592,0.6667,0.6531,0.8682,0.781,0.781
42,55,0.071814,1.0,1.0,1.0,0.7542,0.68,0.6735,0.8675,0.7843,0.7905
42,60,0.051134,1.0,1.0,1.0,0.7508,0.68,0.6735,0.8664,0.7843,0.7905
42,65,0.040382,1.0,1.0,1.0,0.7625,0.68,0.6735,0.8678,0.7647,0.7714
42,70,0.032031,1.0,1.0,1.0,0.7642,0.68,0.6735,0.8642,0.7573,0.7619
42,75,0.030838,1.0,1.0,1.0,0.7742,0.6667,0.6531,0.8624,0.7692,0.7714
42,80,0.017227,1.0,1.0,1.0,0.7809,0.6667,0.6531,0.8609,0.7692,0.7714
42,85,0.024282,1.0,1.0,1.0,0.7776,0.6923,0.6735,0.8609,0.7619,0.7619
42,90,0.012219,1.0,1.0,1.0,0.7709,0.6667,0.6531,0.8584,0.7429,0.7429
42,95,0.008027,1.0,1.0,1.0,0.7726,0.6667,0.6531,0.8606,0.7429,0.7429
42,100,0.009927,1.0,1.0,1.0,0.7726,0.6923,0.6735,0.8602,0.7547,0.7524
42,105,0.005478,1.0,1.0,1.0,0.7692,0.6923,0.6735,0.8602,0.7778,0.7714
42,110,0.00427,1.0,1.0,1.0,0.7625,0.6923,0.6735,0.8624,0.785,0.781
42,115,0.005189,1.0,1.0,1.0,0.7692,0.6923,0.6735,0.8631,0.7778,0.7714
42,120,0.003417,1.0,1.0,1.0,0.7692,0.6923,0.6735,0.8653,0.7706,0.7619
42,125,0.002958,1.0,1.0,1.0,0.7676,0.717,0.6939,0.8598,0.7706,0.7619
42,130,0.002227,1.0,1.0,1.0,0.7659,0.717,0.6939,0.8595,0.7748,0.7619
42,135,0.001182,1.0,1.0,1.0,0.7742,0.7037,0.6735,0.8566,0.7857,0.7714
42,140,0.000806,1.0,1.0,1.0,0.7793,0.717,0.6939,0.8635,0.7679,0.7524
42,145,0.001586,1.0,1.0,1.0,0.7776,0.717,0.6939,0.8642,0.7748,0.7619
42,150,0.001965,1.0,1.0,1.0,0.7742,0.6923,0.6735,0.866,0.7818,0.7714
42,155,0.000804,1.0,1.0,1.0,0.7659,0.717,0.6939,0.8595,0.7636,0.7524
42,160,0.000577,1.0,1.0,1.0,0.7609,0.6923,0.6735,0.8529,0.7636,0.7524
42,165,0.00037,1.0,1.0,1.0,0.7692,0.7037,0.6735,0.8609,0.7818,0.7714
42,170,0.000397,1.0,1.0,1.0,0.7809,0.7037,0.6735,0.8638,0.7818,0.7714
42,175,0.000468,1.0,1.0,1.0,0.7826,0.7037,0.6735,0.8624,0.7706,0.7619
42,180,0.000229,1.0,1.0,1.0,0.786,0.7037,0.6735,0.8591,0.7523,0.7429
42,185,0.000535,1.0,1.0,1.0,0.786,0.717,0.6939,0.8577,0.7523,0.7429
42,190,8.5e-05,1.0,1.0,1.0,0.7893,0.717,0.6939,0.8609,0.7748,0.7619
42,195,0.000251,1.0,1.0,1.0,0.7876,0.717,0.6939,0.862,0.7788,0.7619
42,200,0.000196,1.0,1.0,1.0,0.7893,0.717,0.6939,0.8642,0.7748,0.7619
42,205,5.4e-05,1.0,1.0,1.0,0.7843,0.717,0.6939,0.8631,0.7748,0.7619
42,210,8.1e-05,1.0,1.0,1.0,0.7809,0.7037,0.6735,0.8667,0.7778,0.7714
42,215,8.7e-05,1.0,1.0,1.0,0.7709,0.7037,0.6735,0.8667,0.7778,0.7714
42,220,5.2e-05,1.0,1.0,1.0,0.7625,0.717,0.6939,0.8617,0.785,0.781
42,225,0.000104,1.0,1.0,1.0,0.7676,0.717,0.6939,0.8624,0.7748,0.7619
42,230,0.000186,1.0,1.0,1.0,0.7809,0.7037,0.6735,0.8689,0.7788,0.7619
42,235,2.6e-05,1.0,1.0,1.0,0.7843,0.717,0.6939,0.8664,0.7788,0.7619
42,240,3e-05,1.0,1.0,1.0,0.7943,0.717,0.6939,0.866,0.7788,0.7619
42,245,6.2e-05,1.0,1.0,1.0,0.796,0.717,0.6939,0.8653,0.7857,0.7714
42,250,2.2e-05,1.0,1.0,1.0,0.801,0.717,0.6939,0.8678,0.7706,0.7619
42,255,2.8e-05,1.0,1.0,1.0,0.8127,0.717,0.6939,0.8707,0.785,0.781
42,260,3.2e-05,1.0,1.0,1.0,0.806,0.717,0.6939,0.8689,0.789,0.781
42,265,1.8e-05,1.0,1.0,1.0,0.791,0.7037,0.6735,0.8642,0.7706,0.7619
42,270,2.3e-05,1.0,1.0,1.0,0.786,0.7037,0.6735,0.8591,0.7568,0.7429
42,275,8e-06,1.0,1.0,1.0,0.7926,0.7037,0.6735,0.8635,0.7636,0.7524
42,280,1.6e-05,1.0,1.0,1.0,0.8027,0.717,0.6939,0.8733,0.7706,0.7619
42,285,4.5e-05,1.0,1.0,1.0,0.8043,0.717,0.6939,0.874,0.7706,0.7619
42,290,7e-06,1.0,1.0,1.0,0.8043,0.717,0.6939,0.874,0.7636,0.7524
42,295,4e-06,1.0,1.0,1.0,0.7926,0.717,0.6939,0.8733,0.7636,0.7524
42,300,1e-05,1.0,1.0,1.0,0.7943,0.717,0.6939,0.8693,0.7706,0.7619
42,305,9e-06,1.0,1.0,1.0,0.8043,0.717,0.6939,0.8689,0.7523,0.7429
42,310,2.2e-05,1.0,1.0,1.0,0.8027,0.717,0.6939,0.8693,0.7523,0.7429
42,315,8e-06,1.0,1.0,1.0,0.8027,0.717,0.6939,0.8696,0.7636,0.7524
42,320,3e-06,1.0,1.0,1.0,0.7977,0.717,0.6939,0.8718,0.7778,0.7714
42,325,3e-06,1.0,1.0,1.0,0.7926,0.717,0.6939,0.8718,0.7963,0.7905
42,330,8e-06,1.0,1.0,1.0,0.7943,0.717,0.6939,0.8744,0.8073,0.8
42,335,1e-06,1.0,1.0,1.0,0.796,0.717,0.6939,0.8736,0.7963,0.7905
42,340,6e-06,1.0,1.0,1.0,0.796,0.717,0.6939,0.8686,0.785,0.781
42,345,8.1e-05,1.0,1.0,1.0,0.801,0.717,0.6939,0.8675,0.7963,0.7905
42,350,1e-06,1.0,1.0,1.0,0.7993,0.717,0.6939,0.8675,0.7963,0.7905
42,355,2e-06,1.0,1.0,1.0,0.7993,0.717,0.6939,0.8667,0.789,0.781
42,360,1e-06,1.0,1.0,1.0,0.796,0.717,0.6939,0.8653,0.789,0.781
42,365,5e-06,1.0,1.0,1.0,0.801,0.717,0.6939,0.8642,0.789,0.781
42,370,0.0,1.0,1.0,1.0,0.8043,0.717,0.6939,0.8689,0.789,0.781
42,375,1e-06,1.0,1.0,1.0,0.806,0.717,0.6939,0.8696,0.7778,0.7714
42,380,1e-06,1.0,1.0,1.0,0.811,0.717,0.6939,0.8725,0.785,0.781
42,385,0.0,1.0,1.0,1.0,0.811,0.717,0.6939,0.8744,0.8037,0.8
42,390,1e-05,1.0,1.0,1.0,0.8077,0.717,0.6939,0.8751,0.7963,0.7905
42,395,0.0,1.0,1.0,1.0,0.7993,0.717,0.6939,0.874,0.7963,0.7905
42,400,1e-06,1.0,1.0,1.0,0.801,0.717,0.6939,0.8722,0.785,0.781
42,405,1e-06,1.0,1.0,1.0,0.8027,0.717,0.6939,0.8707,0.785,0.781
42,410,0.0,1.0,1.0,1.0,0.801,0.717,0.6939,0.8653,0.785,0.781
42,415,1e-06,1.0,1.0,1.0,0.801,0.717,0.6939,0.8642,0.785,0.781
42,420,0.0,1.0,1.0,1.0,0.7993,0.717,0.6939,0.862,0.785,0.781
42,425,0.0,1.0,1.0,1.0,0.7993,0.717,0.6939,0.8635,0.785,0.781
42,430,0.0,1.0,1.0,1.0,0.801,0.717,0.6939,0.866,0.785,0.781
42,435,1e-06,1.0,1.0,1.0,0.8027,0.717,0.6939,0.8671,0.7736,0.7714
42,440,2e-06,1.0,1.0,1.0,0.7977,0.717,0.6939,0.8707,0.7736,0.7714
42,445,0.0,1.0,1.0,1.0,0.7926,0.717,0.6939,0.8696,0.7736,0.7714
42,450,0.0,1.0,1.0,1.0,0.7876,0.717,0.6939,0.8696,0.7736,0.7714
42,455,1e-06,1.0,1.0,1.0,0.7926,0.717,0.6939,0.8696,0.7736,0.7714
84,5,0.272703,0.8021,0.7327,0.7231,0.7592,0.6957,0.7143,0.776,0.7358,0.7333
84,10,0.249698,0.851,0.787,0.7641,0.7525,0.6809,0.6939,0.8232,0.7368,0.7143
84,15,0.218507,0.8831,0.8111,0.7897,0.7575,0.6957,0.7143,0.8366,0.7544,0.7333
84,20,0.199935,0.9103,0.8341,0.8205,0.7742,0.6667,0.6939,0.8402,0.7368,0.7143
84,25,0.179814,0.9381,0.8626,0.8513,0.786,0.6364,0.6735,0.8497,0.75,0.7333
84,30,0.169414,0.9653,0.872,0.8615,0.7993,0.6364,0.6735,0.8529,0.7636,0.7524
84,35,0.151328,0.9874,0.9143,0.9077,0.8127,0.6667,0.6939,0.8584,0.7593,0.7524
84,40,0.140364,0.9981,0.9804,0.9795,0.8244,0.6818,0.7143,0.8573,0.7636,0.7524
84,45,0.108882,0.9999,0.9951,0.9949,0.8227,0.7111,0.7347,0.8558,0.7679,0.7524
84,50,0.102899,1.0,1.0,1.0,0.8227,0.7111,0.7347,0.8624,0.7818,0.7714
84,55,0.07966,1.0,1.0,1.0,0.8294,0.7111,0.7347,0.8638,0.8,0.7905
84,60,0.068015,1.0,1.0,1.0,0.8311,0.7347,0.7347,0.8595,0.785,0.781
84,65,0.043832,1.0,1.0,1.0,0.8344,0.72,0.7143,0.8577,0.781,0.781
84,70,0.040752,1.0,1.0,1.0,0.8294,0.72,0.7143,0.8577,0.785,0.781
84,75,0.036614,1.0,1.0,1.0,0.8311,0.72,0.7143,0.8555,0.785,0.781
84,80,0.017418,1.0,1.0,1.0,0.8328,0.72,0.7143,0.8548,0.789,0.781
84,85,0.014616,1.0,1.0,1.0,0.8328,0.72,0.7143,0.8519,0.7778,0.7714
84,90,0.017122,1.0,1.0,1.0,0.8395,0.72,0.7143,0.8526,0.789,0.781
84,95,0.013116,1.0,1.0,1.0,0.8378,0.72,0.7143,0.8598,0.7568,0.7429
84,100,0.006247,1.0,1.0,1.0,0.8395,0.7451,0.7347,0.862,0.7568,0.7429
84,105,0.004943,1.0,1.0,1.0,0.8411,0.7692,0.7551,0.8573,0.7434,0.7238
84,110,0.005083,1.0,1.0,1.0,0.8411,0.7692,0.7551,0.8526,0.7304,0.7048
84,115,0.00421,1.0,1.0,1.0,0.8395,0.7451,0.7347,0.8511,0.7455,0.7333
84,120,0.002654,1.0,1.0,1.0,0.8428,0.7451,0.7347,0.8471,0.7387,0.7238
84,125,0.004405,1.0,1.0,1.0,0.8528,0.7451,0.7347,0.8471,0.7193,0.6952
84,130,0.002566,1.0,1.0,1.0,0.8545,0.7451,0.7347,0.8482,0.7414,0.7143
84,135,0.000926,1.0,1.0,1.0,0.8428,0.76,0.7551,0.8558,0.7478,0.7238
84,140,0.001079,1.0,1.0,1.0,0.8495,0.7755,0.7755,0.858,0.7544,0.7333
84,145,0.000664,1.0,1.0,1.0,0.8512,0.7755,0.7755,0.8602,0.7611,0.7429
84,150,0.001229,1.0,1.0,1.0,0.8528,0.7755,0.7755,0.8602,0.7478,0.7238
84,155,0.000444,1.0,1.0,1.0,0.8462,0.7692,0.7551,0.854,0.7414,0.7143
