hidden_channels,lr,weight_decay,dropout,focal_gamma,focal_alpha,epochs,mean_val_AUC,std_val_AUC
256,0.0002,1e-05,0.5,1.0,0.75,1000,0.9116867335562988,0.0279628619583238
128,0.001,0.0001,0.5,2.0,0.5,700,0.9098316610925308,0.02471700643669391
128,0.0002,0.0001,0.3,2.0,0.5,700,0.9078684503901895,0.01616757162402747
128,0.001,1e-05,0.3,2.0,0.5,700,0.9073377926421404,0.03290914395757852
512,0.001,1e-05,0.5,1.0,0.75,1000,0.9063288740245262,0.025473416515560274
128,0.001,1e-05,0.5,2.0,0.5,1000,0.9062787068004459,0.021315470909525545
128,0.0002,0.0001,0.5,1.0,0.75,1000,0.9056700111482721,0.019430000055518426
128,0.0002,1e-05,0.5,1.0,0.5,700,0.9053745819397993,0.011419090950238742
128,0.001,0.0001,0.5,1.0,0.75,1000,0.9032129319955408,0.033885234802284704
128,0.0002,1e-05,0.5,2.0,0.75,700,0.902603121516165,0.03149547533908362
128,0.001,0.0001,0.3,1.0,0.75,1000,0.9019197324414716,0.021727691470628367
256,0.001,0.0001,0.5,2.0,0.75,1000,0.9015518394648829,0.040076757863588656
128,0.0002,1e-05,0.3,2.0,0.5,700,0.901251950947603,0.016979648197933395
256,0.001,0.0001,0.3,2.0,0.75,1000,0.9006209587513935,0.0331833573467384
512,0.0002,1e-05,0.5,2.0,0.5,400,0.9005908584169454,0.03759853385293061
256,0.001,0.0001,0.5,2.0,0.5,700,0.90044370122631,0.030750816392114393
512,0.0002,1e-05,0.3,2.0,0.75,700,0.9004325529542921,0.030663066651253654
128,0.0002,0.0001,0.3,1.0,0.5,400,0.9000724637681159,0.028175306895906412
256,0.001,1e-05,0.5,2.0,0.5,700,0.8998963210702341,0.0223256019124911
128,0.001,1e-05,0.3,2.0,0.75,700,0.8989264214046824,0.020367673793181062
256,0.001,1e-05,0.3,1.0,0.75,1000,0.8986321070234113,0.030555765841047775
256,0.0002,0.0001,0.3,1.0,0.5,1000,0.8982151616499443,0.019136846693083236
512,0.0002,1e-05,0.5,1.0,0.5,400,0.8977502787068005,0.021995384626131754
512,0.0002,1e-05,0.3,1.0,0.5,400,0.8977179487179487,0.010536333033114869
512,0.001,0.0001,0.3,1.0,0.75,700,0.8977012263099219,0.026879947404674354
128,0.001,0.0001,0.5,1.0,0.75,400,0.8976666666666666,0.0218173727324314
256,0.0002,1e-05,0.5,2.0,0.75,1000,0.8973322185061315,0.013628539620138738
512,0.001,1e-05,0.5,1.0,0.5,700,0.8971527313266442,0.025563058817367586
256,0.0002,1e-05,0.3,1.0,0.75,700,0.8970958751393534,0.0271788387611815
128,0.0002,0.0001,0.5,1.0,0.5,1000,0.8970278706800446,0.03601829461237155
256,0.0002,1e-05,0.3,2.0,0.75,700,0.8969397993311038,0.008771039306961645
256,0.001,0.0001,0.5,1.0,0.75,400,0.8969141583054625,0.02417148856861113
