Epoch,Loss,Train_AUC,Train_F1,Train_Acc,Val_AUC,Val_F1,Val_Acc,Test_AUC,Test_F1,Test_Acc
5,2.4e-05,1.0,1.0,1.0,0.7876,0.7692,0.7551,0.8217,0.7434,0.7238
10,7.1e-05,1.0,1.0,1.0,0.7475,0.6909,0.6531,0.8366,0.7387,0.7238
15,4e-05,1.0,1.0,1.0,0.8478,0.7451,0.7347,0.8377,0.729,0.7238
20,5.4e-05,1.0,1.0,1.0,0.8144,0.7778,0.7551,0.8322,0.7818,0.7714
25,3.4e-05,1.0,1.0,1.0,0.7993,0.7308,0.7143,0.8199,0.7544,0.7333
30,1.9e-05,1.0,1.0,1.0,0.8077,0.717,0.6939,0.8076,0.7611,0.7429
35,6.6e-05,1.0,1.0,1.0,0.8127,0.7857,0.7551,0.846,0.7407,0.7333
40,3.1e-05,1.0,1.0,1.0,0.8278,0.7451,0.7347,0.8569,0.8073,0.8
45,2.6e-05,1.0,1.0,1.0,0.8127,0.7059,0.6939,0.8264,0.7679,0.7524
50,6.7e-05,1.0,1.0,1.0,0.8278,0.7778,0.7551,0.8609,0.7593,0.7524
55,2.8e-05,1.0,1.0,1.0,0.8311,0.7547,0.7347,0.8141,0.7611,0.7429
60,2.9e-05,1.0,1.0,1.0,0.8361,0.717,0.6939,0.8108,0.7222,0.7143
65,2.7e-05,1.0,1.0,1.0,0.7776,0.717,0.6939,0.8453,0.7818,0.7714
70,4.3e-05,1.0,1.0,1.0,0.796,0.7037,0.6735,0.8399,0.7818,0.7714
75,2.6e-05,1.0,1.0,1.0,0.7726,0.6667,0.6327,0.8199,0.6909,0.6762
80,3.1e-05,1.0,1.0,1.0,0.8027,0.7308,0.7143,0.8431,0.7736,0.7714
85,0.000103,1.0,1.0,1.0,0.8512,0.7451,0.7347,0.8787,0.7778,0.7714
90,2e-05,1.0,1.0,1.0,0.811,0.7451,0.7347,0.8555,0.7593,0.7524
95,7.8e-05,1.0,1.0,1.0,0.8378,0.7547,0.7347,0.8355,0.7748,0.7619
100,4.1e-05,1.0,1.0,1.0,0.7943,0.7037,0.6735,0.7988,0.7103,0.7048
105,5.6e-05,1.0,1.0,1.0,0.8445,0.7692,0.7551,0.8017,0.7455,0.7333
110,4.2e-05,1.0,1.0,1.0,0.7843,0.717,0.6939,0.829,0.7547,0.7524
115,0.000169,1.0,1.0,1.0,0.7793,0.7273,0.6939,0.8286,0.7706,0.7619
120,3.9e-05,1.0,1.0,1.0,0.8244,0.75,0.7143,0.8155,0.7434,0.7238
125,5.4e-05,1.0,1.0,1.0,0.7977,0.7451,0.7347,0.8159,0.7184,0.7238
130,2.7e-05,1.0,1.0,1.0,0.8411,0.6923,0.6735,0.8671,0.7573,0.7619
135,1.6e-05,1.0,1.0,1.0,0.8328,0.7925,0.7755,0.8373,0.8,0.8
